,parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
10,11070347,1,,,4,4,,1,4,,,3095,3095,,,,,6037,,4,,,,2,34291173,-118577875,,,,,,,010D,269,LARE,60371082.02,12447,3101,275078,96356,0,,,,1,,,2016,,,138760,192544,2016,53784,2460.72,,,
11,11073947,,,,0,0,4,,,,,2470,,,2470,,,6037,,,,,,,34265214,-118520217,3423,,,,,,1200,47,LAC2,60371112.02,12447,3101,31817,96370,0,,,,,,,1958,1,,249582,436767,2016,187185,6014.18,,,
12,11114347,,,,0,0,,,,,,,,,,,,6037,,,,,,,34447747,-118565056,81293,,,,,,010D,269,SCUR3,60379201.08,,3101,,96377,0,,,,,,,,,,,9,2016,9,,,,
13,11116947,,,,0,0,,,,,,,,,,,,6037,,,,,,,34465048,-118568166,6286,,,,,,010D,269,LCA25*,60379201.07,,3101,,96377,0,,,,,,,,,,,171200,2016,171200,4690.68,,,
14,11142747,,,,0,0,,,,,,,,,,,,6037,,,,,,,34416889,-118505805,,,,,,,300V,266,SCBP,60379203.14,54311,3101,37739,96373,0,,,,,,,,,,,4265,2015,4265,,,,
15,11193347,,,,0,0,,,,,,,,,,,,6037,,,,,,,34585014,-118162010,11975,,,,,,100,261,PDA1*,60379104.01,40227,3101,,97329,0,,,,,,,,,,,10,2016,10,,,,
16,11215747,,,,0,0,,,,,,,,,,,,6037,,,,,,,34563376,-118019104,9403,,,,,,100,261,PDA21*,60379107.05,40227,3101,,97330,0,,,,,,,,,,,10,2016,10,,,,
17,11229347,,,,0,0,,,,,,,,,,,,6037,,,,,,,34526913,-118050581,3817,,,,,,100,261,LCA21*,60379107.09,40227,3101,,97330,0,,,,,,,,,,,2108,2016,2108,174.21,,,
18,11287347,,,,0,0,4,3,,,,2760,,,2760,,,6037,,,,,,,34690736,-118135225,8856,,,,,,1210,31,LRC3*,60379008.06,5534,3101,,97317,0,,,,,,,1949,1,,33151,63374,2016,30223,2330.24,,,
19,11288547,,,,0,0,,4,,,,4000,4000,,,,,6037,,,,,,,34733960,-118139298,46526,,,,,,300V,260,LCM*,60379003,5534,3101,,97318,0,,,,,,,1956,,,176653,314727,2016,138074,4162.56,,,
20,11324547,1,,,2,4,,8,2,,,3633,3633,,,,,6037,,2,,,,2,34560018,-118169806,9826,,,,,,100,261,LCA22,60379102.06,40227,3101,,97329,0,,,,1,,,2005,,,222321,296425,2016,74104,6941.39,,,
21,11391347,,,,0,0,4,4,,,,4053,,,4053,,,6037,,,,,,,33986910,-118329553,8050,,,,,,1210,31,LAC2,60372347,12447,3101,115729,96024,0,,,,1,,,2002,1,,200612,511433,2016,310821,6840.34,,,
22,11395747,,,,0,0,4,6,,,,1442,,,1442,,,6037,,,,,,,33960238,-118319986,2904,,,,,,1210,31,INC2*,60376008.01,45888,3101,,96137,0,,,,1,,,,1,,36423,50689,2016,14266,1522.08,,,
23,11404347,,,,0,0,4,4,,,,1936,,,1936,,,6037,,,,,,,33959896,-118350438,1821,,,,,,1210,31,INC1*,60376010.01,45888,3101,,96133,0,,,,,,,1939,1,,111677,365489,2016,253812,3703.54,Y,13,
24,11405747,,,,0,0,4,4,,,,1606,,,1606,,,6037,,,,,,7,33952952,-118361711,5231,,,,,,1210,31,INC2YY,60376014.02,45888,3101,,96133,0,,,,1,,,1926,1,,42556,184437,2016,141881,2992.02,,,
25,11417147,,,,0,0,4,4,,,,2820,,,2820,,,6037,,,,,,,33931500,-118352104,5934,,,,,,1210,31,HAC2YY,60376021.03,45888,3101,,96136,0,,,,2,,,1922,1,,45644,135755,2016,90111,2797.7,,,
26,11441547,,,,0,0,4,5,,,,13130,,,13130,,,6037,,,,,,,33901592,-118353199,13200,,,,,,1200,47,LNM1YY,60376039,46178,3101,,96107,0,,,,,,,1953,1,,786351,1093711,2016,307360,15617.06,,,
27,11457547,,,,0,0,,,,,,,,,,,,6037,,,,,,,33961232,-118385376,500,,,,,,100,261,LAR2,60372760,12447,3101,7877,96026,0,,,,,,,,,,,124,2016,124,,,,
28,11488147,,,,4,5,,8,4,,,2865,,,2865,,,6037,,4,,,,,33879216,-118361434,4990,,,,,,200,246,RBR-3,60376205.21,33612,3101,,96124,0,,,,2,,,1972,,,271704,831224,2016,559520,10455.41,,,
29,11520747,,,,0,0,4,4,,,,6790,,,6790,,,6037,,,,,,,34016768,-118408671,10437,,,,,,1200,47,CCR4*,60377028.01,51617,3101,762191,96097,0,,,,,,,1955,1,,207923,798579,2016,590656,11304.81,,,
30,11524947,1,,,2,2,,7,2,,,1090,1090,,,,,6037,,2,,,,2,33974100,-118423000,40247,,,,,,010C,266,LAC2(PV),60372756.02,12447,3101,13327,96072,0,,,,1,,,2004,,,232897,357568,2016,124671,6165.36,,,
31,11544747,1,,,4,3,,11,4,,,1620,1620,,,,,6037,,4,,,,2,33996200,-118438000,,,,,,,100,261,LAR3,60372722.02,12447,3101,116415,96047,0,,,,1,,,2011,,,339532,847770,2016,508238,10244.94,,,
32,11579347,,,,0,0,4,7,,,,3170,,,3170,,,6037,,,,,,,34047254,-118490143,5010,,,,,,1210,31,SMC2*,60377012.01,12447,3101,113910,96149,0,,,,,,,1955,1,,313941,536681,2016,222740,6905.7,,,
33,11585547,,,,2,3,,8,2,,,2077,2077,,,,,6037,,2,,,,2,34012977,-118479243,6490,,,,,,100,261,SMR2*,60377022.01,26964,3101,,96152,0,,,,1,,,1926,,,210192,646760,2016,436568,7924.68,,,
34,11588747,,,,3,3,,5,3,,,2019,,,2019,,,6037,,3,,,,,34003621,-118477513,6763,,,,,,300,247,SMOP2*,60377021.03,26964,3101,117023,96152,0,,,,3,,,,,,451786,1431502,2016,979716,17034.34,,,
35,11592147,,,,0,0,3,,,,,28667,,,28667,,,6037,,,,,,,34021478,-118495171,,,,,,,1204,47,SMC3,60377014.02,26964,3101,761543,96148,0,,,,,,,1958,4,,13315021,25797852,2016,12482831,333480.7,,,
36,11609547,,,,0,0,4,,,,,5610,,,5610,,,6037,,,,,,,34043579,-118420247,5500,,,,,,1210,31,LAC2,60372693.01,12447,3101,403142,96045,0,,,,1,,,1932,1,,33522,239984,2016,206462,3436.86,,,
37,11617547,1,,,3,2,,,3,,,2735,2735,,,,,6037,,3,,,,2,34059700,-118439000,,,,,,,010C,266,LAR5,60372656.02,12447,3101,118920,96005,0,,,,1,,,2010,,,757582,2922104,2016,2164522,34982.17,,,
38,11660547,,,,0,0,,,,,,,,,,,,6037,,,,,,,34061789,-118490569,,,,,,,109,261,LARA,60372623.03,12447,3101,113910,96030,0,,,,,,,,,,233427,6730242,2016,6496815,80348.13,,,
39,11681747,,,,0,0,,,,,,,,,,,,6037,,,,,,,34078805,-118685815,2902,,,,,,010V,261,LCA11*,60378001.02,,3101,,96337,0,,,,,,,,,,,15532,2016,15532,248.89,,,
40,11698747,,,,0,0,4,6,,,,18629,,,18629,,,6037,,,,,,,33989166,-118352009,17015,,,,,,1200,47,LCC2YY,60377031,12447,3101,115729,96024,0,,,,,,,1949,1,,590254,1315128,2016,724874,19040.15,,,
41,11704347,,,,0,0,4,4,,,,1781,,,1781,,,6037,,,,,,7,33997099,-118308380,7484,,,,,,1210,31,LAC2,60372324,12447,3101,118208,96043,0,,,,1,,,1919,1,,31244,101107,2016,69863,2282.52,,,
42,11732547,,,,0,0,3,4,,,,4320,,,4320,,,6037,,,,,,,34040347,-118284504,9410,,,,,,1210,31,LAC2,60372211.2,12447,3101,403192,95987,0,,,,,,,1925,1,,52490,262499,2016,210009,3695.84,,,
43,11742147,,,,0,0,,,,,,,,,,,,6037,,,,,,,34048500,-118351405,3928,,,,,,100V,260,LAC4,60372171,12447,3101,274514,96000,0,,,,,,,,,,4703,290829,2016,286126,3639.9,,,
44,11751547,,,,0,0,4,,,,,1012,,,1012,,,6037,,,,,,,34059275,-118343860,6163,,,,,,1200,47,LAC2,60372162,12447,3101,274514,96017,0,,,,,,,1936,1,,52011,1196269,2016,1144258,14592.4,,,
45,11759947,,,,2,4,,4,2,,,1931,,,1931,,,6037,,2,,,,7,33990297,-118275168,5420,,,,,,200,246,LAR2,60372328,12447,3101,268496,96018,0,,,,2,,,1957,,,124789,224617,2016,99828,2885.93,,,
46,11780147,,,,1,0,,,1,,,700,700,,,,,6037,,1,,,,,34046011,-118261452,,,,,,,01HC,266,LAC2,60372079,12447,3101,268118,95996,0,,,,1,,,2008,,,271309,387288,2016,115979,4920.64,,,
47,11781947,,,,0,0,3,6,,,,13768,,,13768,,,6037,,,,,,,34053742,-118277178,19283,,,,,,1200,47,LAC2,60372094.02,12447,3101,268404,96038,0,,,,5,,,1920,1,,185411,504840,2016,319429,8156.96,Y,15,
48,11808747,,,,0,0,4,4,,,,2427,,,2427,,,6037,,,,,,,34078681,-118213803,4676,,,,,,1210,31,LAC4,60371992.01,12447,3101,116206,96012,0,,,,,,,1937,1,,131982,385794,2016,253812,4937.95,,,
49,11817747,,,,0,0,4,6,,,,2718,,,2718,,,6037,,,,,,,34090024,-118162665,2749,,,,,,1210,31,LAC2,60372015.01,12447,3101,114914,96013,0,,,,2,,,1962,1,,229850,332879,2016,103029,2236.95,,,
50,11818747,,,,0,0,,,,,,,,,,,,6037,,,,,,,34072919,-118164004,5875,,,,,,100,261,LAPF,60372017,12447,3101,403190,96013,0,,,,,,,,,,,11009,2016,11009,,,,
51,11823747,,,,0,0,4,8,,,,3230,,,3230,,,6037,,,,,,,34048938,-118192806,4995,,,,,,1210,31,LAC2,60372032,12447,3101,113886,96044,0,,,,2,,,1927,1,,42827,95552,2016,52725,1439.04,,,
52,11824947,,,,0,0,4,5,,,,2086,,,2086,,,6037,,,,,,,34040253,-118188151,5279,,,,,,1210,31,LCC3*,60375311.01,17882,3101,,96044,0,,,,2,,,1908,1,,103339,369854,2016,266515,6196.56,,,
53,11825347,,,,0,0,4,4,,,,4355,,,4355,,,6037,,,,,,,34033519,-118185231,9132,,,,,,1210,31,LCC3*,60375311.01,17882,3101,,96044,0,,,,5,,,1957,1,,303881,562744,2016,258863,9208.71,Y,11,
54,11828947,,,,0,0,4,5,,,,4567,,,4567,,,6037,,,,,,,34028416,-118191127,5163,,,,,,1210,31,LCC3*,60375312.01,17882,3101,,96044,0,,,,1,,,1909,1,,37662,55862,2016,18200,2778.74,,,
55,11829547,,,,0,0,4,4,,,,2156,,,2156,,,6037,,,,,,,34024226,-118188022,7165,,,,,,1210,31,LCM1*,60375312.02,17882,3101,,96004,0,,,,2,,,1959,1,,206071,343796,2016,137725,5716.15,,,
56,11852147,,,,0,0,4,4,,,,3159,,,3159,,,6037,,,,,,,34021350,-118130571,2555,,,,,,1210,31,MNC2*,60375302.04,25953,3101,,96192,0,,,,2,,,1955,1,,59621,73264,2016,13643,1614.71,Y,15,
57,11900147,,,,0,0,3,,,,,6150,,,6150,,,6037,,,,,,,34096844,-118107664,4022,,,,,,1200,47,SLC2D*,60374811.01,33837,3101,,96515,0,,,,,,,1916,1,,221153,406553,2016,185400,6693.9,,,
58,11918747,,,,0,0,3,8,,,,1045,,,1045,,,6037,,,,,,,34081400,-118085000,117792,,,,,,120C,47,SLM1-R3*,60374814.03,33837,3101,,96515,0,,,,1,,,1993,,,190985,318308,2016,127323,4521.82,,,
59,11935747,,,,0,0,,,,,,,,,,,,6037,,,,,,,34071672,-118250933,2500,,,,,,040V,248,LARD2,60371976,12447,3101,268134,96007,0,,,,,,,,,,,1835,2016,1835,34.1,,,
60,11936547,,,,0,0,,,,,,,,,,,,6037,,,,,,,34067385,-118242805,25183,,,,,,040V,248,LAR3,60371977,12447,3101,268134,95993,0,,,,,,,,,,,122435,2016,122435,1754.55,,,
61,11951747,,,,0,0,,,,,,,,,,,,6037,,,,,,,34104348,-118254681,5173,,,,,,100V,260,LAR2,60371873,12447,3101,268473,96020,0,,,,,,,,,,2258,545506,2016,543248,6520.09,,,
62,11954547,,,,0,0,,,,,,1200,1200,,,,,6037,,,,,,,34097714,-118248712,4054,,,,,,109,261,LAR1,60371974.1,12447,3101,268134,96020,0,,,,,,,1972,,,595,5328,2016,4733,91.6,,,
63,11960747,13,,,0,0,4,,,,,7323,,,7323,,,6037,,,,,,,34117105,-118242371,9099,,,,,,1210,31,LAC1,60371864.01,12447,3101,273825,96046,0,,,,,,,1960,1,,128598,179934,2016,51336,2676.72,,,
64,11978347,13,,,0,0,4,,,,,5085,,,5085,,,6037,,,,,,,34110288,-118191254,3751,,,,,,1200,47,LAC4,60371836.1,12447,3101,115609,96023,0,,,,,,,1919,1,,159801,285955,2016,126154,5381.07,,,
65,12002347,,,,0,0,,,,,,,,,,,,6037,,,,,,,34088168,-118355700,,,,,,,010V,260,WDR3C*,60377001.02,48424,3101,,96027,0,,,,,,,,,,304575,1015250,2016,710675,12190.19,Y,15,
66,12013147,,,,0,0,,,,,,,,,,,,6037,,,,,,,34099979,-118341961,976,,,,,,040V,248,LARD1.5,60371901,12447,3101,32059,96009,0,,,,,,,,,,,25381,2016,25381,331.47,,,
67,12022147,,,,0,0,4,6,,,,10152,,,10152,,,6037,,,,,,,34090892,-118385831,6057,,,,,,1200,47,WDC2A*,60377005.01,48424,3101,,96050,0,,,,,,,1936,1,,852739,2101824,2016,1249085,28990.15,,,
68,12037147,,,,0,0,4,4,,,,5482,,,5482,,,6037,,,,,,,34102958,-118286134,6348,,,,,,1210,31,LAC4,60371891.01,12447,3101,274359,96008,0,,,,4,,,1942,1,,194745,402476,2016,207731,5488.44,,,
69,12060147,,,,0,0,4,6,,,,5302,,,5302,,,6037,,,,,,,34162542,-118264158,5567,,,,,,1210,31,GLC3*,60373012.06,45457,3101,275856,96321,0,,,,4,,,1940,1,,333493,798094,2016,464601,8944.55,,,
70,12076747,,,,0,0,,,,,,,,,,,,6037,,,,,,,34172392,-118198221,9787,,,,,,010V,260,GLR1RY,60373009.01,45457,3101,276256,96325,0,,,,,,,,,,18638,181216,2016,162578,1991.53,Y,15,
71,12077147,,,,0,0,,,,,,,,,,,,6037,,,,,,,34170195,-118191644,2111,,,,,,100,261,GLR1RY,60373009.01,45457,3101,276256,96325,0,,,,,,,,,,,2171,2016,2171,,,,
72,12096947,1,,,3,2,,1,3,,,2510,2510,,,,,6037,,3,,,,2,34142330,-118157533,,,,,,,010C,266,PSRGSP-1B*,60374637,47019,3101,275411,96293,0,,,,1,,,2015,,,584000,1674500,2016,1090500,9378.06,,,
73,12104147,,,,0,0,3,4,,,,6200,,,6200,,,6037,,,,,,,34148283,-118149156,10004,,,,,,1200,47,PSC-,60374619.02,47019,3101,275958,96291,0,,,,,,,1924,1,,217561,2610776,2016,2393215,33702.9,,,
74,12111347,,,,0,0,2,,,,,18348,,,18348,,,6037,,,,,,,34144225,-118132334,53507,,,,,,120C,47,PSC,60374636.01,47019,3101,275405,96289,0,,,,,,,2006,,,4023116,8409871,2016,4386755,104673.72,,,
75,12144747,,,,4,4,,4,4,,,3086,,,3086,,,6037,,4,,,,7,34111765,-118045669,12843,,,,,,200,246,ARR1YY,60374316,50749,3101,,96268,0,,,,2,,,1950,,,288506,820065,2016,531559,9602.77,,,
76,12167947,,,,0,0,,,,,,,,,,,,6037,,,,,,,34202429,-118123203,145953,,,,,,100,261,LCR120000*,60374601,30187,3101,,96265,0,,,,,,,,,,,378,2016,378,,,,
77,12171147,,,,0,0,4,4,,,,2098,,,2098,,,6037,,,,,,,34171205,-118131784,5927,,,,,,1210,31,PSC-,60374615.01,47019,3101,273539,96292,0,,,,,,,1929,1,,19649,44476,2016,24827,1112.02,,,
78,12188547,,,,0,0,4,,,,,1377,,,1377,,,6037,,,,,,,33976720,-118268917,3251,,,,,,1210,31,LAR3,60372393.2,12447,3101,268496,95984,0,,,,,,,1923,1,,16153,48479,2016,32326,834.94,Y,11,
79,12195547,,,,0,0,4,5,,,,2649,,,2649,,,6037,,,,,,7,33972924,-118288809,5602,,,,,,1210,31,LARD2,60372377.1,12447,3101,118208,96025,0,,,,1,,,1912,1,,76082,155331,2016,79249,2135.55,,,
80,12209347,,,,0,0,4,4,,,,2440,,,2440,,,6037,,,,,,,33955375,-118307766,3000,,,,,,1210,31,LAC2,60372384,12447,3101,118208,96028,0,,,,,,,1947,1,,59292,184119,2016,124827,2452.47,,,
81,12211747,,,,0,0,4,4,,,,2675,,,2675,,,6037,,,,,,,33956700,-118274000,2750,,,,,,1210,31,LAC2,60372402,12447,3101,268496,95984,0,,,,,,,1960,1,,62312,153191,2016,90879,2076.56,,,
82,12228547,,,,0,0,4,3,,,,1564,,,1564,,,6037,,,,,,,33938538,-118268310,,,,,,,1210,31,LARD2,60372409.01,12447,3101,268496,96042,0,,,,1,,,1932,1,,92600,235000,2016,142400,3354.42,,,
83,12254347,,,,0,0,4,,,,,1208,,,1208,,,6037,,,,,,,33885660,-118290186,6447,,,,,,1210,31,LAR3,60372912.1,12447,3101,273930,96104,0,,,,1,,,1936,1,,12813,45505,2016,32692,1095,,,
84,12257147,,,,0,0,,,,,,,,,,,,6037,,,,,,,33915785,-118271373,91940,,,,,,1210,31,LCR1*,60375409.02,118994,3101,,96042,0,,,,,,,,1,,,62374,2016,62374,,,,
85,12310147,,,,0,0,,,,,,,,,,,,6037,,,,,,,33954475,-118183468,,,,,,,300V,260,SGM2,60375360,47762,3101,,96125,0,,,,,,,,,,5763000,27864269,2015,22101269,362406.91,,,
86,12311747,,,,0,0,4,8,,,,10030,,,10030,,,6037,,,,,,,33943371,-118199640,17595,,,,,,1200,47,SGC2*,60375359.02,47762,3101,,96125,0,,,,,,,1985,1,,3116958,3841832,2016,724874,49852.47,,,
87,12322547,,,,0,0,,,,,,,,,,,,6037,,,,,,,33906779,-118177023,7936,,,,,,300V,260,PAM2*,60375537.01,6395,3101,,96220,0,,,,,,,,,,5076,308788,2016,303712,3697.21,,,
88,12360147,,,,0,0,4,4,,,,3084,,,3084,,,6037,,,,,,,33980399,-118206130,2834,,,,,,1210,31,HPCG*,60375332.01,39076,3101,,96110,0,,,,,,,1926,1,,122749,269189,2016,146440,4780.24,,,
89,12366747,,,,0,0,4,3,,,,2029,,,2029,,,6037,,,,,,,33975454,-118164470,6369,,,,,,1210,31,BGCM*,60375341.01,16961,3101,,96083,0,,,,1,,,1939,1,,108039,375895,2016,267856,6546.14,,,
90,12371547,,,,0,0,4,5,,,,1902,,,1902,,,6037,,,,,,7,34014159,-118146081,2471,,,,,,1210,31,CMC2*,60375323.03,17882,3101,,96003,0,,,,1,,,1951,1,,26899,44271,2016,17372,1028.06,,,
91,12378747,,,,0,0,4,,,,,1534,,,1534,,,6037,,,,,,7,34011495,-118115623,5840,,,,,,1200,47,MNC2*,60375320.02,25953,3101,,96192,0,,,,,,,1923,1,,97279,278632,2016,181353,4286.01,,,
92,12405147,,,,0,0,,,,,,,,,,,,6037,,,,,,,33881947,-118064573,1163,,,,,,010D,269,CEADP3,60375545.13,10774,3101,,96206,0,,,,,,,,,,,9,2016,9,,,,
93,12408747,,,,0,0,,,,,,,,,,,,6037,,,,,,,33878703,-118087837,361,,,,,,010D,269,CEADP6,60375545.21,10774,3101,,96206,0,,,,,,,,,,,9,2016,9,,,,
94,12446947,,,,0,0,4,4,,,,2875,,,2875,,,6037,,,,,,7,33874912,-118168701,3776,,,,,,1210,31,LBCCA,60375702.02,46298,3101,276476,96239,0,,,,2,,,1947,1,,142557,203648,2016,61091,3001.85,,,
95,12476147,,,,0,0,,,,,,,,,,,,6037,,,,,,,33874476,-118127752,6500,,,,,,100V,260,BFM1YY,60375544.04,44116,3101,,96208,0,,,,,,,,,,5076,248736,2016,243660,2880.22,,,
96,12508747,,,,3,0,,6,3,,,9893,9893,,,,,6037,,3,,,,,33801943,-118157478,19073,,,,,,300V,260,SHM1*,60375734.03,27103,3101,,96234,0,,,,1,,,2004,,,1212818,1742687,2016,529869,21738.76,,,
97,12537947,,,,0,0,,,,,,171,171,,,,,6037,,,,,,,33770827,-118156513,13002,,,,,,109,261,LBRR2A,60375768.02,46298,3101,416304,96246,0,,,,1,,,1973,,,,6920,2016,6920,255.17,,,
98,12549947,,,,0,0,,,,,,,,,,,,6037,,,,,,,33779270,-118169007,601,,,,,,040V,248,LBR4*,60375764.03,46298,3101,416309,96245,0,,,,,,,,,,,1004,2016,1004,24.04,,,
99,12559547,,,,0,0,,,,,,203,203,,,,,6037,,,,,,,33773611,-118193771,17359,,,,,,109,261,LBPD10,60375759.02,46298,3101,273486,96236,0,,,,1,,,1960,,,7083,14166,2016,7083,163.79,,,
100,12559747,13,,,0,0,3,8,,,,8360,,,8360,,,6037,,,,,,,33771212,-118191236,8600,,,,,,1214,47,LBPD30,60375762.01,46298,3101,273486,96236,0,,,,,,,2003,4,,728164,1092245,2016,364081,16751.44,,,
101,12560547,,,,0,0,4,,,,,20089,,,20089,,,6037,,,,,,,33770013,-118192643,88436,,,,,,1210,31,LBCB*,60375759.02,46298,3101,273486,96236,0,,,,,,,1992,1,,1183789,1288541,2016,104752,19099.49,,,
102,12592347,,,,0,0,,,,,,,,,,,,6037,,,,,,,33824365,-118303282,,,,,,,010C,266,LAR1,60372932.02,12447,3101,273930,96159,0,,,,,,,,,,,56417,2016,56417,699.37,,,
103,12606547,1,,,3,3,,7,3,,,2166,2166,,,,,6037,,3,,,,2,33837000,-118347000,22073,,,,,,010C,266,TOHC-CTR,60376507.01,54722,3101,,96161,0,,,,1,,,2005,,,363000,659000,2016,296000,7580.62,,,
104,12612547,,,,0,0,4,6,,,,3725,,,3725,,,6037,,,,,,,33795369,-118318560,11168,,,,,,1210,31,LOCG-R1*,60376700.03,53027,3101,,96217,0,,,,4,,,,1,,464913,587254,2016,122341,8253.47,,,
105,12645947,,,,0,0,,,,,,,,,,,,6037,,,,,,,33750912,-118284822,4386,,,,,,100,261,LAR1,60372962.1,12447,3101,54300,96221,0,,,,,,,,,,,59927,2016,59927,,,,
106,12649147,,,,0,0,,,,,,,,,,,,6037,,,,,,,33729436,-118292194,4648,,,,,,100,261,LARD2,60372969.01,12447,3101,54300,96221,0,,,,,,,,,,,23448,2016,23448,,,,
107,12665947,,,,0,0,4,4,,,,1464,,,1464,,,6037,,,,,,,33835697,-118384037,3717,,,,,,1210,31,RBC-2,60376213.01,33612,3101,,96123,0,,,,1,,,1925,1,,32453,331068,2016,298615,4468.67,,,
108,12682747,,,,0,0,4,4,,,,2000,,,2000,,,6037,,,,,,,33803768,-118349826,6102,,,,,,1210,31,TOHC-GEN,60376514.02,54722,3101,118825,96163,0,,,,,,,1953,1,,187185,499165,2016,311980,5985.29,,,
109,12685947,,,,0,0,3,6,,,,8444,,,8444,,,6037,,,,,,,33799682,-118388346,5774,,,,,,1200,47,PVC*,60376703.24,33311,3101,,96121,0,,,,,,,1952,1,,668630,1088800,2016,420170,14959.2,,,
110,12716947,,,,1,3,,4,1,,,1244,1244,,,,,6037,,1,,,,7,33953559,-118083855,6021,,,,,,100,261,SSR1YY,60375027,13716,3101,,96201,0,,,,1,,,1950,,,108040,169471,2016,61431,2532.88,,,
111,12757147,1,,,2,3,,4,2,,,1300,1300,,,,,6037,,2,,,,2,33897134,-118102953,4917,,,,,,100,261,NOR1YY,60375530,53636,3101,,96193,0,,,,1,,,1950,,,77415,233266,2016,155851,3110.99,,,
112,12757947,,,,2,3,,6,2,,,1222,1222,,,,,6037,,2,,,,7,33889894,-118100732,5500,1,,,,1,101,261,NOR1*,60375530,53636,3101,,96193,0,,,,1,,,1951,,,117839,290492,2016,172653,3870.25,,,
113,12773747,1,,,4,4,,4,4,,,1847,1847,,,,,6037,,4,,,,2,34035689,-118042899,,,,,,,010D,269,SEC*,60374338.02,36502,3101,,96480,0,,,,1,,,2015,,,,111923,2016,111923,1485.62,,,
